"AccidentUID","AccidentType","AccidentType_de","AccidentType_fr","AccidentType_it","AccidentType_en","AccidentSeverityCategory","AccidentSeverityCategory_de","AccidentSeverityCategory_fr","AccidentSeverityCategory_it","AccidentSeverityCategory_en","AccidentInvolvingPedestrian","AccidentInvolvingBicycle","AccidentInvolvingMotorcycle","RoadType","RoadType_de","RoadType_fr","RoadType_it","RoadType_en","AccidentLocation_CHLV95_E","AccidentLocation_CHLV95_N","CantonCode","MunicipalityCode_Aktuell","MunicipalityCode_AccidentYear","AccidentYear","AccidentMonth","AccidentMonth_de","AccidentMonth_fr","AccidentMonth_it","AccidentMonth_en","AccidentWeekDay","AccidentWeekDay_de","AccidentWeekDay_fr","AccidentWeekDay_it","AccidentWeekDay_en","AccidentHour","AccidentHour_text"
"9FC2212663A3E0F0E0430A865E33E0F0","at7","Parkierunfall","accident en parquant","Incidente nel parcheggiare","Accident when parking","as4","Unfall mit Sachschaden","accident avec dommages matériels","Incidente con danni materiali","Accident with property damage",FALSE,FALSE,FALSE,"rt439","andere","autre","Altro","Other",2683598,1253507,"ZH",261,261,2011,1,"Januar","janvier","Gennaio","January","aw403","Mittwoch","mercredi","Mercoledì","Wednesday",10,"10h-11h"
"9FC2F14A65700050E0430A865E330050","at4","Einbiegeunfall","accident en s'engageant sur une route","Incidente nell’immettersi in una strada","Accident when turning-into main road","as4","Unfall mit Sachschaden","accident avec dommages matériels","Incidente con danni materiali","Accident with property damage",FALSE,FALSE,FALSE,"rt433","Nebenstrasse","route secondaire","Strada secondaria","Minor road",2680708,1252618,"ZH",261,261,2011,1,"Januar","janvier","Gennaio","January","aw405","Freitag","vendredi","Venerdì","Friday",14,"14h-15h"
"9FC2F14A65F30050E0430A865E330050","at3","Abbiegeunfall","accident en quittant une route","Incidente nello svoltare","Accident when turning left or right","as3","Unfall mit Leichtverletzten","accident avec blessés légers","Incidente con feriti leggeri","Accident with light injuries",FALSE,TRUE,FALSE,"rt433","Nebenstrasse","route secondaire","Strada secondaria","Minor road",2681179,1247560,"ZH",261,261,2011,1,"Januar","janvier","Gennaio","January","aw401","Montag","lundi","Lunedí","Monday",8,"08h-09h"
"9FC2F14A672A0050E0430A865E330050","at8","Fussgängerunfall","accident impliquant des piétons","Incidente con pedoni","Accident involving pedestrian(s)","as3","Unfall mit Leichtverletzten","accident avec blessés légers","Incidente con feriti leggeri","Accident with light injuries",TRUE,FALSE,FALSE,"rt432","Hauptstrasse","route principale","Strada principale","Principal road",2679811,1246849,"ZH",261,261,2011,1,"Januar","janvier","Gennaio","January","aw402","Dienstag","mardi","Martedì","Tuesday",18,"18h-19h"
"9FC2F14A694B0050E0430A865E330050","at2","Auffahrunfall","accident par tamponnement","Incidente di tamponamento","Accident with rear-end collision","as3","Unfall mit Leichtverletzten","accident avec blessés légers","Incidente con feriti leggeri","Accident with light injuries",FALSE,FALSE,FALSE,"rt433","Nebenstrasse","route secondaire","Strada secondaria","Minor road",2682789,1247449,"ZH",261,261,2011,1,"Januar","janvier","Gennaio","January","aw406","Samstag","samedi","Sabato","Saturday",9,"09h-10h"
"9FC2F14A7E780050E0430A865E330050","at6","Frontalkollision","collision frontale","Collisione frontale","Accident with head-on collision","as4","Unfall mit Sachschaden","accident avec dommages matériels","Incidente con danni materiali","Accident with property damage",FALSE,FALSE,FALSE,"rt433","Nebenstrasse","route secondaire","Strada secondaria","Minor road",2680762,1250227,"ZH",261,261,2011,1,"Januar","janvier","Gennaio","January","aw405","Freitag","vendredi","Venerdì","Friday",14,"14h-15h"
"9FC309470B85D0B4E0430A865E33D0B4","at7","Parkierunfall","accident en parquant","Incidente nel parcheggiare","Accident when parking","as4","Unfall mit Sachschaden","accident avec dommages matériels","Incidente con danni materiali","Accident with property damage",FALSE,FALSE,FALSE,"rt433","Nebenstrasse","route secondaire","Strada secondaria","Minor road",2678932,1249322,"ZH",261,261,2011,1,"Januar","janvier","Gennaio","January","aw401","Montag","lundi","Lunedí","Monday",17,"17h-18h"
"9FC3094717DAD0B4E0430A865E33D0B4","at7","Parkierunfall","accident en parquant","Incidente nel parcheggiare","Accident when parking","as4","Unfall mit Sachschaden","accident avec dommages matériels","Incidente con danni materiali","Accident with property damage",FALSE,FALSE,FALSE,"rt433","Nebenstrasse","route secondaire","Strada secondaria","Minor road",2684085,1246470,"ZH",261,261,2011,1,"Januar","janvier","Gennaio","January","aw405","Freitag","vendredi","Venerdì","Friday",23,"23h-00h"
"9FC309471AAED0B4E0430A865E33D0B4","at2","Auffahrunfall","accident par tamponnement","Incidente di tamponamento","Accident with rear-end collision","as3","Unfall mit Leichtverletzten","accident avec blessés légers","Incidente con feriti leggeri","Accident with light injuries",FALSE,FALSE,FALSE,"rt433","Nebenstrasse","route secondaire","Strada secondaria","Minor road",2683557,1252364,"ZH",261,261,2011,1,"Januar","janvier","Gennaio","January","aw401","Montag","lundi","Lunedí","Monday",17,"17h-18h"
"9FC309471E85D0B4E0430A865E33D0B4","at1","Überholunfall oder Fahrstreifenwechsel","accident lors d'un dépassement ou lors d'un changement de voie de circulation","Incidente di sorpasso o al cambiamento di corsia","Accident when overtaking or changing lanes","as4","Unfall mit Sachschaden","accident avec dommages matériels","Incidente con danni materiali","Accident with property damage",FALSE,FALSE,FALSE,"rt433","Nebenstrasse","route secondaire","Strada secondaria","Minor road",2682494,1243677,"ZH",261,261,2011,1,"Januar","janvier","Gennaio","January","aw404","Donnerstag","jeudi","Giovedì","Thursday",7,"07h-08h"
